,A,P
0,0.0501254,0.06
1,0.0501406,-0.012
2,0.0501482,0.006
3,0.0501254,-0.036
4,0.0500109,-0.06
5,0.0499804,0.048
6,0.0501406,0.036
7,0.0500109,-0.048
8,0.0499728,0.012
9,0.0500262,0.108
10,0.050133,-0.048
11,0.049988,0.03
12,0.0500414,0.096
13,0.0500109,-0.06
14,0.0500643,0.114
15,0.0501025,-0.078
16,0.0500033,0.072
17,0.0501254,-0.006
18,0.0500643,-0.078
19,0.0500262,0.09
20,0.0501177,-0.048
21,0.0499804,0.024
22,0.0501254,0.054
23,0.0500338,-0.06
24,0.050072,0.096
25,0.050133,0.036
26,0.0500109,-0.06
27,0.0501482,0.006
28,0.0500872,-0.06
29,0.0500109,0.078
30,0.0500872,0.084
31,0.0499728,-0.006
32,0.0499957,-0.03
33,0.0500491,-0.084
34,0.0499957,0.0
35,0.0501177,-0.054
36,0.049988,0.036
37,0.0500491,0.114
38,0.0501177,-0.054
39,0.050133,-0.036
40,0.0500643,0.096
41,0.0501101,-0.06
42,0.0500643,-0.078
43,0.0500338,0.09
44,0.0501177,-0.054
45,0.050133,-0.012
46,0.0500643,-0.084
47,0.0501177,0.084
48,0.0499957,0.03
49,0.0500567,0.108
50,0.0501254,0.06
51,0.049988,0.048
52,0.0500567,0.108
53,0.0501406,0.06
54,0.0501025,0.09
55,0.0500796,-0.084
56,0.0500109,0.084
57,0.0501406,-0.012
58,0.0499804,0.012
59,0.0501177,0.066
60,0.0501406,-0.03
61,0.0500414,0.096
62,0.0501025,0.084
63,0.0501406,-0.006
64,0.0499804,-0.024
65,0.0499957,-0.048
66,0.0501482,0.006
67,0.0501406,0.012
68,0.0501177,0.078
69,0.0500414,-0.078
70,0.0500414,0.096
71,0.0501177,-0.054
72,0.0499957,0.03
73,0.050133,0.036
74,0.0500033,-0.048
75,0.049988,0.054
76,0.0501406,0.03
77,0.0500109,-0.036
78,0.0501101,0.09
79,0.050072,-0.09
80,0.0500109,0.09
81,0.0499957,0.06
82,0.0500643,-0.078
83,0.0500338,0.09
84,0.050133,-0.048
85,0.0499804,0.0
86,0.0501254,-0.048
87,0.0500033,-0.03
88,0.0500262,-0.06
89,0.0500948,0.09
90,0.0501406,0.024
91,0.049988,-0.036
92,0.0500948,0.09
93,0.0500872,-0.066
94,0.0500109,0.09
95,0.050133,-0.03
96,0.0500338,-0.072
97,0.0500643,0.108
98,0.0501101,-0.06
99,0.0499804,0.054
100,0.0501406,0.03
101,0.0500109,-0.048
102,0.0501025,0.096
103,0.050133,0.006
104,0.049988,-0.03
105,0.0501025,0.096
106,0.050072,-0.072
107,0.0500185,0.084
108,0.0501254,-0.036
109,0.0499804,0.012
110,0.050133,0.06
111,0.0500262,-0.06
112,0.0500643,0.114
113,0.0501025,-0.066
114,0.0499804,0.048
115,0.0501406,0.012
116,0.0499957,-0.03
117,0.0500109,0.054
118,0.0501406,-0.006
119,0.0499957,-0.024
120,0.0501101,0.09
121,0.0500643,-0.078
122,0.0500338,0.09
123,0.0501254,-0.036
124,0.0501406,-0.012
125,0.050133,0.06
126,0.0500185,-0.06
127,0.049988,-0.006
128,0.0501254,0.078
129,0.0500491,-0.072
130,0.0500567,0.096
131,0.049988,-0.006
132,0.0499804,0.03
133,0.0501406,0.048
134,0.0500109,-0.036
135,0.0501025,0.09
136,0.0500796,-0.09
137,0.0500109,0.084
138,0.049988,0.054
139,0.050072,-0.06
140,0.0500185,0.09
141,0.050133,-0.03
142,0.0499804,0.006
