,A,P
0,0.0436404,2.226
1,0.0527575,-6.972
2,0.0450366,6.192
3,0.0565341,1.434
4,0.0565569,-3.264
5,0.0433581,-0.834
6,0.0564272,-3.456
7,0.0433428,-0.552
8,0.0560381,3.048
9,0.0433581,-0.27
10,0.0545886,6.228
11,0.0433505,0.036
12,0.0564425,-3.486
13,0.0468981,7.68
14,0.0563052,-3.672
15,0.0466616,-7.14
16,0.0511019,8.166
17,0.054024,-6.426
18,0.0442965,4.038
19,0.0566638,-0.57
20,0.0438693,-4.086
21,0.0567248,-0.102
22,0.0565646,1.356
23,0.045151,-6.0
24,0.0521929,7.782
25,0.0524447,-7.38
26,0.045418,5.694
27,0.0565493,-1.656
28,0.0455706,5.904
29,0.0493395,-7.884
30,0.0453341,-5.928
31,0.052994,6.582
32,0.0431979,-2.226
33,0.0531924,6.462
34,0.0449831,-5.49
35,0.0572665,0.534
36,0.0448611,-5.31
37,0.0530016,6.57
38,0.0446932,-5.076
39,0.0430911,1.926
40,0.0549548,4.836
41,0.0486529,-7.83
42,0.0448534,-5.322
43,0.0572741,0.294
44,0.0459521,6.252
45,0.0532076,6.432
46,0.0430377,-0.96
47,0.0533602,6.348
48,0.0444186,-4.578
49,0.0535738,6.162
50,0.049927,-7.884
51,0.0434878,-3.222
52,0.0557711,3.528
53,0.0556796,-3.966
54,0.0430071,1.41
55,0.054436,-6.096
56,0.0443499,4.2
57,0.0566943,-0.036
58,0.0437548,-3.924
59,0.0469592,6.93
60,0.0572131,-0.426
61,0.0442965,-4.326
62,0.0542605,5.562
63,0.0565493,-1.56
64,0.0431597,-2.064
65,0.0521395,7.026
66,0.0515368,-7.512
67,0.0455248,6.744
68,0.0493243,-7.944
69,0.0457537,6.912
70,0.0490725,-7.914
71,0.0435259,-1.896
72,0.056946,-2.034
73,0.0510104,-7.836
74,0.0442355,-4.236
75,0.0538027,5.994
76,0.0429842,0.054
77,0.0540087,5.844
78,0.0443652,-4.488
79,0.0572283,-0.528
80,0.0552981,4.392
81,0.0558245,-3.678
82,0.0495608,8.304
83,0.0546954,-5.862
84,0.0438845,3.108
85,0.0566256,0.954
86,0.0471346,-7.344
87,0.0503466,7.548
88,0.0572436,0.606
89,0.0442126,5.034
90,0.0572588,0.354
91,0.0538256,-6.57
92,0.0537035,6.072
93,0.0429537,-0.168
94,0.0552905,-5.25
95,0.0446246,-5.358
96,0.0528414,7.464
97,0.0524294,-7.386
98,0.045151,-5.712
99,0.0509722,8.19
