,A,P
0,0.0552905,-4.578
1,0.0513003,8.082
2,0.0464709,6.612
3,0.0561907,-2.85
4,0.0536883,-6.684
5,0.0431674,2.088
6,0.0550158,4.734
7,0.0512774,8.124
8,0.0443347,-4.464
9,0.0515444,8.028
10,0.0497897,-7.896
11,0.0434649,-3.084
12,0.056206,-3.918
13,0.043381,-2.784
14,0.0563967,-3.504
15,0.043381,0.378
16,0.0560763,3.006
17,0.0461047,6.414
18,0.0511553,8.112
19,0.0567935,2.76
20,0.0484545,-7.818
21,0.0484774,8.22
22,0.053139,6.456
23,0.0504076,-7.806
24,0.0557024,4.944
25,0.0565035,-3.384
26,0.0436175,-3.498
27,0.056679,-2.934
28,0.0433581,-0.396
29,0.0557711,3.576
30,0.0465395,-7.152
31,0.0441973,3.918
32,0.0567095,0.264
33,0.0533984,-6.564
34,0.053818,6.858
35,0.0441973,-4.704
36,0.0540011,6.732
37,0.0491717,7.59
38,0.0455706,-6.402
39,0.0452883,-5.862
40,0.0565646,-1.488
41,0.0455782,-6.198
42,0.0526736,6.768
43,0.0515826,-7.494
44,0.0460894,7.176
45,0.0513766,-7.566
46,0.0442965,-4.86
47,0.0459216,-6.72
48,0.0513003,-7.734
49,0.0551379,4.608
50,0.0477145,-7.668
51,0.0492709,8.31
52,0.0553896,-5.136
53,0.0476,-7.578
54,0.0498888,7.596
55,0.0445406,-5.256
56,0.0565875,1.008
57,0.044884,-5.658
58,0.0433199,-0.246
59,0.053818,-6.192
60,0.0437777,4.218
61,0.0512774,8.1
62,0.0551531,-4.782
63,0.0430834,1.788
64,0.05674,3.018
65,0.0462267,-6.786
66,0.0513842,7.32
67,0.0460436,-6.612
68,0.0566943,-0.522
69,0.0448077,4.944
70,0.053673,-6.678
71,0.0462115,-6.726
72,0.0520098,7.098
73,0.0522845,-7.2
74,0.0448763,6.03
75,0.0571215,-1.416
76,0.0522463,-7.446
77,0.0461199,6.372
78,0.0486758,-7.842
79,0.0539935,-6.444
80,0.0529635,6.594
81,0.0447237,-5.082
82,0.0531847,6.456
83,0.0566714,-0.144
84,0.0445712,4.56
85,0.0539553,-6.498
86,0.0484622,-7.812
87,0.0491717,8.298
88,0.0463259,-6.828
89,0.0569689,2.262
90,0.0552599,-5.256
91,0.0520937,7.086
92,0.0566103,1.098
93,0.0449679,6.138
94,0.0520098,-7.308
95,0.045151,6.3
96,0.0526507,7.572
97,0.0505145,8.238
98,0.0448229,-5.238
99,0.0530245,6.51
100,0.0505373,-7.794
101,0.0464327,7.404
102,0.0540164,6.654
103,0.0511324,-7.806
104,0.0439608,-3.588
105,0.0468905,-7.272
106,0.0501177,8.298
107,0.0547259,-5.826
108,0.0441287,3.75
109,0.0481646,8.172
110,0.0560076,-4.266
111,0.0444186,5.382
112,0.0517199,7.962
113,0.0445178,-4.746
114,0.0512393,8.094
115,0.0532992,-6.888
116,0.0447772,4.896
117,0.0499957,8.328
118,0.0457003,-6.312
119,0.0437777,2.766
120,0.0517199,-7.428
121,0.0438769,3.072
122,0.0545504,-6.006
123,0.0439532,3.342
124,0.0566561,0.774
125,0.0476,-7.548
126,0.0566638,0.54
127,0.0473711,-7.452
128,0.0501406,7.578
129,0.0534136,-6.492
130,0.0440218,4.794
131,0.0572588,-0.096
132,0.0462649,6.48
133,0.056267,-2.682
134,0.0500109,-7.848
135,0.0447848,4.938
136,0.0566485,-0.786
137,0.0434344,-3.0
138,0.0446551,-5.412
139,0.0571368,-1.242
140,0.0478671,7.302
141,0.0548174,5.04
142,0.042969,1.002
143,0.0487292,8.25
144,0.0466845,-7.08
145,0.0514529,7.284
146,0.0528338,-6.876
147,0.0445025,5.502
148,0.0565188,1.524
149,0.0451357,6.336
150,0.0491488,7.59
151,0.0481417,-7.734
152,0.0558627,4.716
153,0.0429766,-0.384
154,0.0537493,6.054
155,0.0565341,-3.162
156,0.0498126,7.596
157,0.0541842,-5.862
158,0.0435336,3.618
159,0.0572207,0.93
160,0.0548327,4.95
161,0.0430377,1.098
162,0.0567858,2.82
163,0.0466464,-7.056
164,0.0515139,7.308
165,0.0527575,-6.966
166,0.0450137,6.222
167,0.0572665,-0.18
168,0.0540392,6.684
