,A,P
0,0.0933766,-16.824
1,0.0949025,14.028
2,0.0656743,-46.968
3,0.09446,-16.404
4,0.050957,57.288
5,0.0650105,-46.656
6,0.0960622,16.134
7,0.0641713,-47.67
8,0.0552905,55.26
9,0.0682149,-46.218
10,0.0882421,25.326
11,0.0659642,-46.914
12,0.053879,56.094
13,0.0621111,-47.316
14,0.053406,55.536
15,0.00318147,54.018
16,0.0978017,-15.702
17,0.0155793,-73.464
18,0.0915761,-15.954
19,0.0552371,54.516
20,0.0979314,-5.988
21,0.0172197,-73.38
22,0.0308229,-67.05
23,0.0799413,31.71
24,0.0698781,-40.458
25,0.0785375,33.456
26,0.0704122,-41.616
27,0.0811391,32.292
28,0.0278779,-70.152
29,0.090775,20.574
30,0.0711675,-40.746
31,0.0855565,30.126
32,0.0735707,-42.222
33,0.0872045,24.186
34,0.0700765,-42.738
35,0.0481875,59.838
36,0.0949788,-14.148
37,0.00560001,-72.642
38,0.0862813,28.254
39,0.0485308,58.584
40,0.0713124,-46.284
41,0.0493929,57.786
42,0.0958257,-14.304
43,0.0936055,16.722
44,0.0142747,73.572
45,0.0547183,55.584
46,0.0638967,-44.982
47,0.050194,57.618
48,0.0935369,-16.962
49,0.0522921,56.592
50,0.00225832,29.136
51,0.0948567,15.654
52,0.0491107,-58.974
53,0.0685582,44.028
54,0.0524828,-57.414
55,0.0676885,43.422
56,0.0498507,-57.96
57,0.0643239,45.39
58,0.0485842,-58.848
59,0.0995717,0.612
60,0.0953603,-17.298
61,0.0569842,53.802
62,0.0592272,-49.848
63,0.0888829,23.778
64,0.0960698,-7.974
65,0.0102463,-68.442
66,0.0942159,-8.724
67,0.0570605,-50.73
68,0.0590441,49.458
69,0.00852209,71.874
70,0.0916371,-21.816
71,0.00854498,72.894
72,0.004509,-57.18
73,0.0960546,-11.094
74,0.00460055,-64.734
75,0.0930028,17.418
76,0.0639043,47.922
77,0.0568545,-53.106
78,0.0522311,57.51
79,0.0973668,-14.16
80,0.00302126,-38.916
81,0.0940633,17.25
82,0.0488665,-56.85
83,0.0949178,13.692
84,0.0636601,47.238
85,0.0559542,-54.174
86,0.0528948,56.706
87,0.068253,-44.388
88,0.0394137,-64.068
89,0.0653844,48.924
90,0.0953298,17.61
91,0.0145875,73.956
92,0.063889,46.428
93,0.0303422,-67.062
94,0.0817647,31.92
95,0.0283738,-67.53
96,0.0660253,44.622
97,0.0323718,-66.594
98,0.100495,2.61
99,0.0916219,22.77
100,0.0170823,-75.954
101,0.0967641,-7.752
102,0.0335772,65.724
103,0.015999,-72.918
104,0.0978093,-4.506
105,0.0209199,-73.908
106,0.0970464,-5.382
107,0.0374148,65.058
108,0.0800252,-36.3
109,0.0772862,37.854
110,0.0801167,-37.38
111,0.0363314,65.712
112,0.0779195,-34.986
113,0.0954442,-15.336
114,0.0942006,15.702
115,0.00416568,-65.97
116,0.0947804,14.742
117,0.00247194,26.082
118,0.0499651,56.964
119,0.0953526,-18.27
120,0.0065842,65.484
121,0.0955434,13.206
122,0.0580828,-49.782
123,0.0882268,23.7
124,0.0576022,53.658
125,0.0435717,62.088
126,0.0616763,-49.446
127,0.0916753,-18.87
128,0.0750279,40.818
129,0.0928426,23.112
130,0.0549242,54.078
131,0.0793462,33.54
132,0.00725558,-64.776
133,0.0960698,-8.088
134,0.038132,63.036
135,0.0747304,-38.208
136,0.0927434,21.546
137,0.0140534,-73.386
138,0.0983968,-8.736
139,0.0425265,63.738
140,0.0741506,-35.838
141,0.0240937,71.334
142,0.039345,-66.402
143,0.0776296,34.314
144,0.095757,2.466
